Country;Fertility rate
Israel;2.85
Mexico;1.91
France;1.66
Colombia;1.65
United States;1.62
Iceland;1.59
New Zeland;1.56
United Kingdom;1.56
Slovenia;1.51
Hungary;1.51
Turkey;1.51
Australia;1.5
Denmark;1.5
Ireland;1.5
OECD average;1.49
Slovak Republic;1.49
Belgium;1.47
Czech Republic;1.45
Swedish;1.45
Portugal;1.44
Netherlands;1.43
Norway;1.4
Germany;1.39
Latvia;1.36
Costa Rica;1.33
Switzerland;1.33
Austria;1.32
Greece;1.32
Estonia;1.31
Canada;1.26
Finland;1.26
Luxembourg;1.25
Italy;1.2
Japan;1.2
Lithuania;1.18
Chile;1.16
Poland;1.16
Spain;1.12
South Korea;0.72
